SUBBLDG_ID,BLDG_ID,ADD_ID,NAME,NOTES,CLASS_CODE,REC_IDS,BLDG_USE,GBA,BLDG_TYPE,GREEN_STATUS,PLACENAME,PLACENAME2,PLACENAME3,PLACENAME4,ABBREVIATEDPLACENAME,BUILDING_SHORTCODE,FULLADDRESS,MUNINAME,PROVINCE,POSTALCODE
ACAP16,ACAP,NOT_JOINED,Acadia Housing 2-13,GBA from OSIS,,009-13,,1515,Townhouses,,,,,,,,,,,
ACAP39,ACAP,NOT_JOINED,Acadia Housing 3-10,GBA from OSIS,,010-10,,440,Townhouses,,,,,,,,,,,
ACAP07,ACAP,NOT_JOINED,Acadia Housing 2-4,GBA from OSIS,,009-04,,679,Townhouses,,,,,,,,,,,
ACAP21,ACAP,NOT_JOINED,Acadia Housing 2-18,GBA from OSIS,,009-18,,383,Townhouses,,,,,,,,,,,
ACAP08,ACAP,NOT_JOINED,Acadia Housing 2-5,GBA from OSIS,,009-05,,401,Townhouses,,Acadia Park Townhouses,Acadia Park Townhouses,Acadia Park Residence,Acadia Park Townhouses,,,5508 Yalta Place,Vancouver,BC,V6T 2C2
ACAP20,ACAP,NOT_JOINED,Acadia Housing 2-17,GBA from OSIS,,009-17,,881,Townhouses,,,,,,,,,,,
ACAP32,ACAP,NOT_JOINED,Acadia Housing 3-3,GBA from OSIS,,010-03,,432,Townhouses,,,,,,,,,,,
ACAP31,ACAP,NOT_JOINED,Acadia Housing 3-2,GBA from OSIS,,010-02,,388,Townhouses,,,,,,,,,,,
ACAP26,ACAP,NOT_JOINED,Acadia Housing 2-23,GBA from OSIS,,009-23,,411,Townhouses,,,,,,,,,,,
ACAP14,ACAP,NOT_JOINED,Acadia Housing 2-11,GBA from OSIS,,009-11,,546,Townhouses,,,,,,,,,,,
ACAP33,ACAP,NOT_JOINED,Acadia Housing 3-4,GBA from OSIS,,010-04,,403,Townhouses,,,,,,,,,,,
